PAYPAL *STEAM GAMES
J D WETHERSPOON PLC  Android ****6653
Hotmart
THE OLD LIBRARY  Contactless
Just Eat  Android ****6653
WM MORRISON PLC
LIDL UK  Android ****6653
BLACKWELL S
CO-OP GROUP FOOD  Android ****6653
CO-OP GROUP FOOD  Android ****6653
PP*HUMBLEBUNDL
ARRIVA TRAINS WALE
WM MORRISON PLC  Contactless
Amazon UK Marketplace
PAYPAL *UDEMY
PP*HUMBLEBUNDL
CO-OP GROUP FOOD  Contactless
THE ENTERTAINER 13  Contactless
TOYS R US  Android ****6653
THE WORKS  Contactless
PAYPAL *BOARDGAMEEX
CO-OP GROUP FOOD  Android ****6653
ORIGINAL FACTORY S
W M MORRISONS  Android ****6653
PAYPAL *GOOGLE PLAY
PP*FIVESTARCAF  Android ****6653
CO-OP GROUP FOOD  Contactless
PAYPAL *GOOGLE PLAY
PAYPAL *GOOGLE PLAY
LIDL UK  CARDIFF  Android ****6653
PAYPAL *GOOGLE PLAY
PAYPAL *NEWTON YALE
CARDIFF UNION SERVICES L  Android ****6653
CO-OP GROUP FOOD  Android ****6653
WM MORRISONS  Android ****6653
WM MORRISON PLC  Android ****6653
PP*FIVESTARCAF  Android ****6653
PP*FIVESTARCAF  Android ****6653
LIDL UK  CARDIFF  Android ****6653
CARDIFF UNION SERVICES L  Android ****6653
CO-OP GROUP FOOD  Contactless
CO-OP GROUP FOOD  Android ****6653
NATURAL HEALTH CLINIC
NATA & CO PORTUGUESE BAK  Android ****6653
PAYPAL *GIFFGAFF 19532
PAYPAL *HUEL
CO-OP GROUP FOOD  Android ****6653
NATA & CO PORTUGUESE BAK
CO-OP GROUP FOOD  Contactless
PAYPAL *REDBUBBLE
DIRECT DEBIT PAYMENT
PP*FIVESTARCAF  Android ****6653
LIDL UK  CARDIFF  Android ****6653
KICKSTARTER.COM  15.00U.S. DOLLA at 1.35501355
WM MORRISON PLC  Android ****6653
PARC LANE  Contactless
PAYPAL *STEAM GAMES
KICKSTARTER.COM  21.00U.S. DOLLA at 1.35396518
CARDIFF UNION SERVICES L  Contactless
PAYPAL *SHIRTPUNCH
Hotmart
CAERPHILLY GARDEN CENTRE  Contactless
Amazon UK Marketplace
Just Eat  Android ****6653
LIDL UK  Android ****6653
TESCO STORE 3063
KICKSTARTERCOM  39.00EUROPEAN M at 1.12489183
THE OLD LIBRARY  Android ****6653
CO-OP GROUP FOOD  Android ****6653
CO-OP GROUP FOOD  Android ****6653
CO-OP GROUP FOOD  Android ****6653
KICKSTARTER.COM  98.00HONG KONG at 10.90100111
PP*FIVESTARCAF  Android ****6653
BAQUETTES & BAGELS  Android ****6653
CO-OP GROUP FOOD  Android ****6653
PAYPAL *ORIGIN.COM
Hotmart
NATA & CO PORTUGUESE BAK  Android ****6653
FOUR ELMS
CO-OP GROUP FOOD  Android ****6653
KAPPUCCINOS LIMITED  Android ****6653
LIDL UK  Android ****6653
THE OLD LIBRARY  Android ****6653
Just Eat
MOUNTAIN WAREHOUSE
MOUNTAIN WAREHOUSE
TRESPASS
COUNTRYSIDE TRADIN
COUNTRYSIDE TRADIN
HOLLAND & BARRETT  Contactless
CHOPSTIX  Contactless
HELLY HANSEN
HARVESTER LLANTRIS  Android ****6653
MCDONALDS  Contactless
STARBUCKS  Android ****6653
PP*FIVESTARCAF  Android ****6653
PP*FIVESTARCAF  Android ****6653
SUBWAY  Android ****6653
CO-OP GROUP FOOD  Android ****6653
WM MORRISON PLC  Android ****6653
PAYPAL *GOOGLE PLAY
ARRIVA TRAINS WALE  Android ****6653
ARRIVA TRAINS WALE  Android ****6653
PAYPAL *GIFFGAFF 71035
PAYPAL *UK ACCES14
PAYPAL *ZHANGXINYI
MOUNTAIN WAREHOUSE  Android ****6653
REGATTA FACTORY ST  Android ****6653
THE GRAPEVINE BISTRO  Android ****6653
PAYPAL *GIFFGAFF 18835
CRAFTCENTRE  Android ****6653
TESCO STORES 3057  Android ****6653
PORTMEIRION  Android ****6653
SIOPAU PORTMEIRION  Android ****6653
SIOPAU PORTMEIRION  Android ****6653
VEGONIA WHOLEFOODS  Android ****6653
PORTMEIRION  Android ****6653
PORTMEIRION  Android ****6653
BURGER KING BANGOR  Contactless
BURGER KING BANGOR  Contactless
SYGUN COPPER MINE  Android ****6653
SYGUN COPPER MINE  Android ****6653
HARLECH CASTLE  Android ****6653
HARLECH CASTLE  Android ****6653
LIDL UK  Contactless
CAFFI CASTELL  Android ****6653
MILLETS
Hotmart
CAERNARFON B  Android ****6653
CAERNARFON B  Android ****6653
CAERNARFON B  Android ****6653
SAVERS HEALTH & BEAUTY  Android ****6653
TAFARN Y PORTH  Android ****6653
BURGER KING BANGOR  Android ****6653
MOUNTAIN WAREHOUSE
CONWY CASTLE  Android ****6653
CONWY CASTLE  Android ****6653
